TEAM_ABBREVIATION	TEAM_CREST	10/19/2021	10/20/2021	10/21/2021	10/22/2021	10/23/2021	10/24/2021	10/25/2021	10/26/2021	10/27/2021	10/28/2021	10/29/2021	10/30/2021	10/31/2021	11/01/2021	11/02/2021	11/03/2021	11/04/2021	11/05/2021	11/06/2021	11/07/2021	11/08/2021	11/09/2021	11/10/2021	11/11/2021	11/12/2021	11/13/2021	11/14/2021	11/15/2021	11/16/2021	11/17/2021	11/18/2021	11/19/2021	11/20/2021	11/21/2021	11/22/2021	11/23/2021	11/24/2021	11/26/2021	11/27/2021	11/28/2021	11/29/2021	11/30/2021	12/01/2021	12/02/2021	12/03/2021	12/04/2021	12/05/2021	12/06/2021	12/07/2021	12/08/2021	12/09/2021	12/10/2021	12/11/2021	12/12/2021	12/13/2021	12/14/2021	12/15/2021	12/16/2021	12/17/2021	12/18/2021	12/19/2021	12/20/2021	12/21/2021	12/22/2021	12/23/2021	12/25/2021	12/26/2021	12/27/2021	12/28/2021	12/29/2021	12/30/2021	12/31/2021	01/01/2022	01/02/2022	01/03/2022	01/04/2022	01/05/2022	01/06/2022	01/07/2022	01/08/2022	01/09/2022	01/10/2022	01/11/2022	01/12/2022	01/13/2022	01/14/2022	01/15/2022	01/16/2022	01/17/2022	01/18/2022	01/19/2022	01/20/2022	01/21/2022	01/22/2022	01/23/2022	01/24/2022	01/25/2022	01/26/2022	01/27/2022	01/28/2022	01/29/2022	01/30/2022	01/31/2022	02/01/2022	02/02/2022	02/03/2022	02/04/2022	02/05/2022	02/06/2022	02/07/2022	02/08/2022	02/09/2022	02/10/2022	02/11/2022	02/12/2022	02/13/2022	02/14/2022	02/15/2022	02/16/2022	02/17/2022	02/24/2022	02/25/2022	02/26/2022	02/27/2022	02/28/2022	03/01/2022	03/02/2022	03/03/2022	03/04/2022	03/05/2022	03/06/2022	03/07/2022	03/08/2022	03/09/2022	03/10/2022	03/11/2022	03/12/2022	03/13/2022	03/14/2022	03/15/2022	03/16/2022	03/17/2022	03/18/2022	03/19/2022	03/20/2022	03/21/2022	03/22/2022	03/23/2022	03/24/2022	03/25/2022	03/26/2022	03/27/2022	03/28/2022	03/29/2022	03/30/2022	03/31/2022	04/01/2022	04/02/2022	04/03/2022	04/05/2022	04/06/2022	04/07/2022	04/08/2022	04/09/2022	04/10/2022
NOP	https://cdn.nba.com/logos/nba/1610612740/global/D/logo.svg	9	10	12	11	12	13	14	13	14	13	15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	15	15	15	15	15	15	15	15	15	15	14	14	13	14	14	15	14	14	13	13	14	14	13	13	13	12	14	13	14	14	14	13	13	13	13	13	13	12	12	12	12	12	12	12	13	12	12	11	11	11	11	11	11	12	12	12	12	11	11	11	11	11	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9
DAL	https://cdn.nba.com/logos/nba/1610612742/global/D/logo.svg	3	14	8	13	6	6	6	3	4	3	4	4	3	3	4	3	3	3	3	3	2	3	4	4	3	3	4	3	3	3	4	4	4	5	5	4	4	4	5	4	4	4	4	4	5	7	7	7	7	7	7	7	8	7	7	7	7	7	8	8	9	9	8	7	7	8	8	7	8	8	8	8	8	8	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	4	4	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	4
DEN	https://cdn.nba.com/logos/nba/1610612743/global/D/logo.svg	4	1	2	1	1	2	3	6	5	6	5	3	4	4	5	6	7	8	5	5	5	5	5	5	4	4	3	4	4	4	5	5	5	6	6	8	8	8	9	10	8	10	10	10	10	8	8	8	8	8	8	8	7	8	8	8	8	8	7	7	6	5	5	8	8	6	6	6	5	5	5	5	5	5	6	6	8	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	6	5	5	6	6	6	5	5	6
GSW	https://cdn.nba.com/logos/nba/1610612744/global/D/logo.svg	1	2	1	2	2	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	3	2	3	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	3
HOU	https://cdn.nba.com/logos/nba/1610612745/global/D/logo.svg	5	8	9	6	7	8	7	12	10	12	11	12	13	13	13	13	14	14	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	13	13	13	13	13	13	14	13	13	13	13	13	14	13	13	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
LAC	https://cdn.nba.com/logos/nba/1610612746/global/D/logo.svg	6	15	11	14	14	15	9	8	11	10	12	13	12	11	11	9	9	9	10	6	7	6	6	6	6	5	5	5	5	5	6	6	6	4	4	5	5	5	4	5	5	5	7	7	6	6	6	5	6	5	5	5	5	5	5	5	6	6	5	6	5	7	6	5	5	5	5	5	6	6	6	6	6	6	8	8	7	8	8	9	9	9	8	8	8	8	8	9	8	9	9	9	8	8	9	9	9	8	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
LAL	https://cdn.nba.com/logos/nba/1610612747/global/D/logo.svg	2	9	10	10	13	9	8	7	9	9	9	8	6	5	3	4	6	5	8	8	8	8	7	7	7	7	7	7	7	7	8	9	9	8	9	9	7	7	8	6	7	8	6	6	7	5	5	6	5	6	6	6	6	6	6	6	5	5	6	5	7	6	7	6	6	7	7	9	7	7	7	7	7	7	7	7	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	11	11	11	11	11	11	11	11	11
MIN	https://cdn.nba.com/logos/nba/1610612750/global/D/logo.svg	8	4	4	5	4	3	5	5	3	4	3	5	5	7	7	10	10	11	11	11	11	11	13	13	12	12	12	12	12	12	11	10	10	10	10	10	10	10	6	8	6	7	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	9	9	9	9	9	8	9	9	9	9	9	9	9	9	9	9	9	8	8	8	9	9	9	9	9	8	9	8	8	8	9	9	7	7	7	7	8	8	8	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
PHX	https://cdn.nba.com/logos/nba/1610612756/global/D/logo.svg	11	12	14	7	10	10	10	9	12	11	10	10	10	10	8	8	5	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
POR	https://cdn.nba.com/logos/nba/1610612757/global/D/logo.svg	12	13	15	15	8	7	11	10	7	7	7	6	8	9	9	11	11	10	9	9	9	9	9	9	9	9	9	9	9	8	9	8	7	7	8	6	6	6	7	9	10	9	9	9	9	10	10	10	10	11	11	10	10	10	10	10	11	11	10	10	10	10	10	10	11	11	11	11	12	12	12	14	13	12	12	11	12	12	12	12	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	12	11	11	11	11	12	12	12	12	12	12	12	12	12	12	12	12	12	12	13	13	13	13	13	13	13	13	13	13	13
SAC	https://cdn.nba.com/logos/nba/1610612758/global/D/logo.svg	13	5	5	8	9	11	12	11	8	8	8	7	9	8	10	7	8	7	7	10	10	10	10	10	11	11	11	10	10	11	12	12	12	12	12	12	11	11	11	11	11	11	11	11	11	11	11	11	11	10	10	11	11	11	11	11	10	10	11	11	11	11	11	12	12	12	12	12	11	11	11	11	10	10	10	10	11	11	11	11	12	12	12	11	11	10	11	11	11	11	11	11	11	12	12	12	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	12	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	12	12	12	12	12	12	12	12	12	12
SAS	https://cdn.nba.com/logos/nba/1610612759/global/D/logo.svg	14	6	6	9	11	12	13	14	13	15	14	11	11	12	12	12	13	12	12	13	13	13	12	12	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	10	10	10	10	10	10	10	10	11	11	11	12	10	10	10	10	11	11	11	13	13	13	13	13	13	13	12	13	13	13	13	13	12	12	12	11	11	11	11	12	12	12	12	12	12	12	12	13	13	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	12	12	12	12	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	10	10	10	10	10	10	10	10	10
OKC	https://cdn.nba.com/logos/nba/1610612760/global/D/logo.svg	10	11	13	12	15	14	15	15	15	14	13	14	14	15	14	14	12	13	13	12	12	12	11	11	10	10	10	11	11	10	10	11	11	11	11	11	12	12	12	12	13	13	13	13	15	15	14	14	14	14	14	14	13	14	14	14	15	15	15	15	15	13	13	13	14	14	13	13	14	14	14	13	12	14	13	13	13	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	15	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
UTA	https://cdn.nba.com/logos/nba/1610612762/global/D/logo.svg	15	7	7	3	5	4	2	2	2	1	1	2	2	2	1	2	1	2	2	2	3	2	2	3	5	6	6	6	6	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	4	4	4	4	4	5	5	5	5	5	5	6	6	6	5	6	6	5	5	5	6	6	5
MEM	https://cdn.nba.com/logos/nba/1610612763/global/D/logo.svg	7	3	3	4	3	5	4	4	6	5	6	9	7	6	6	5	4	6	6	7	6	7	8	8	8	8	8	8	8	9	7	7	8	9	7	7	9	9	10	7	9	6	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	2	2	3	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
